"ID";"Wave";"SiteCode";"Categories";"Feedback"
"989548";"Wave 1 2024";"7033";"Service";"Terdapat 2 Retail Assistant di store, Retail Assistant wanita dan pria. Saat Pelanggan melakukan kunjungan yang aktif melayani adalah Retail Assistant wanita, sedangkan Retail Assistant pria terkesan pasif and lebih hanya memperhatikan saja."
"989300";"Wave 1 2024";"2266";"Service";"Pelanggan datang saat kondisi store masih sepi pengunjung dan Retail Assistant yang bertugas di Lantai 1 tidak terlihat sedang melayani pengunjung lain. Tetapi tidak ada Retail Assistant yang menghampiri Pelanggan di 2 menit pertama berkeliling store. Saat datang, Pelanggan disambut oleh Security yang berjaga di area pintu masuk. Kemudian Pelanggan menunjukkan pilihan tas casual yang diinginkan (Vanda Bucket Slingbag) dan Retail Assistant menginformasikan jika produk tersebut sudah sold out, namun Retail Assistant tidak menawarkan untuk membantu mencarikan produk tersebut di store lain yang berada di Makassar."
"989050";"Wave 1 2024";"5108";"Service, Cleanliness";"Saat Pelanggan melakukan kunjungan kondisi store sedang cukup ramai, sedangkan Retail Assistant yang bertugas hanya ada 1 orang. Sehingga pelayanan yang diberikan kepada Pelangganpun sangat pasif, yang mungkin disebabkan karena sekaligus melayani Pelanggan lain juga. Kemudian kondisi di store pun terkesan kurang rapi, banyak kardus yang menumpuk sekitar display produk dan cukup menghalangi jalur jalan Pelanggan."
"990159";"Wave 1 2024";"2044";"Service, Cleanliness, Facility";"Retail Assistant yang melayani Pelanggan terkesan sangat pasif, ketika Pelanggan melihat-lihat produk tidak ada inisiatif untuk memberikan informasi kepada Pelanggan. Retail Assistant hanya menjawab pertanyaan jika Pelanggan bertanya. Kemudian yang harus jadi perhatian adalah toilet, karena kondisinya sangat kotor dan tergabung dengan area penyimpanan barang yang terkesan sangat berantakan."
"989241";"Wave 1 2024";"5069";"Service, People";"Retail Assistant tidak mendampingi dan menjelaskan/menawarkan produk beserta keunggulan produk yang ada di store. Selain itu Retail Assistant terdengar keras dan jelas asik mengobrol ketika pelanggan melakukan transaksi pembayaran."
"989399";"Wave 1 2024";"Closed";"Facility";"Secara keseluruhan suasana Store Eiger Diponegoro Surabaya dan pelayanan Retail Assistant cukup baik, namun karena area parkirnya merupakan area parkir bersama dengan store lain sehingga saat Pelanggan melakukan kunjungan sedikit kesulitan untuk mencari tempat parkir karena kondisinya yang sedang ramai pengunjung."
"989458";"Wave 1 2024";"5036";"Service";"Saat Pelanggan melakukan kunjungan ke store Eiger Karawang Central Plaza, kondisi store cukup ramai sedangkan Retail Assistant yang bertugas hanya 1 orang. Kemudian saat Pelanggan memasuki store, Retail Assistant tidak menyadari kedatangan Pelanggan karena sedang melayani Pelanggan lain, sehingga tidak ada sambutan apapun dari Retail Assistant."
"990049";"Wave 1 2024";"2045";"People, Service";"Store Eiger EX BP Ambon terlihat bersih pada lantai 1 dan lantai 2. Pelanggan dilayani dengan baik oleh Retail Assistant dan Kasir, namun Retail Assistant yang melayani Pelanggan tidak mengenakan ID Card, berbeda dengan Kasir yang lebih rapi. Untuk penilaian Retail Assistant dan Kasir sama-sama masih terkesan pasif, tidak ada inisiatif untuk memberika informasi kepada Pelanggan."
"989499";"Wave 1 2024";"2079";"Service, Facility";"Pelanggan dilayani dengan baik, Retail Assistant aktif memberikan rekomendasi produk namun kurang memberikan penjelasan seperti terkait keunggulan produk dan cara perawatan produk. Kemudian area display di store tertata dengan rapi, namun produk ditata tidak sesuai dengan kategori, karena terlihat tercampur antara jenis produk tas, sandal dan yang lainnya."
"990708";"Wave 1 2024";"Closed";"Service";"Store dalam kondisi bersih dan rapi dengan penataan display produk yang menarik, namun untuk pelayanan Retail Assistant harus terus ditingkatkan karena pelayanannya masih sangat pasif tidak ada inisiatif untuk menyampaikan informasi-informasi kepada Pelanggan."
"989029";"Wave 1 2024";"2077";"Cleanliness, Facility";"Retail Assistant sangat antusias and aktif membantu mencarikan produk yang Pelanggan minati, bahkan sampai mengecek stock produk di store Eiger terdekat. Keadaan store juga terlihat bersih dan rapi, namun yang harus dijadikan perhatian adalah keadaan toiletnya, karena terkesan tidak terawat."
"989238";"Wave 1 2024";"2015";"Service, Cleanliness, Facility";"Store dalam kondisi bersih, produk display tertata rapi. Namun dari segi pelayanan Retail Assistant masih sangat terkesan pasif, tidak ada inisiatif untuk memberikan informasi-informasi sehingga harus Pelanggan yang selalu bertanya. Kemudian kondisi toilet sangat terlihat kumuh, lantai dan closet terihat kotor, plafond yang terbuka, serta banyak alat kebersihan yang disimpan di toilet."
"990742";"Wave 1 2024";"2129";"Facility";"Retail Assistant sudah baik and ramah dalam melayani Pelanggan yang mencari produk serta mengerti maksud dan keinginan darri Pelanggan. Namun mohon diperhatikan kembali dispaly produk karena ada beberapa tidak sesuai jadi terkesan tidak rapi. Toilet sedang dalam perbaikan."
"989382";"Wave 1 2024";"2334";"Cleanliness, Facility";"Secara keseluruhan suasana store dan pelayanan Retail Assistant cukup baik, namun untuk kondisi toilet masih harus diperhatikan karena terlihat kotor dan tidak terawat."
"989264";"Wave 1 2024";"2316";"Facility, People, Cleanliness";"Toko Eiger Kabanjahe terlihat bersih dan rapi. Dari hasil kunjungan Pelanggan, rata-rata produk terdapat Price tag, tetapi ada satu produk tas yang kebetulan Pelanggan lihat tidak terdapat Price tagnya. Kasir bernama Vina, tidak menggunakan ID Card saat kunjungan Pelanggan, wajah Kasir terlihat polos tanpa make up dan lipstik serta rambut dari Kasir ikatannya terlihat kurang rapi. Tinta pada struk pembelian tidak begitu tebal, sehingga tidak dapat terbaca dengan baik. Selain itu, terdapat pergantian Retail Assistant yang melayani Pelanggan, namun tidak diinformasikan terlebih dahulu ke Pelanggan sebagai bentuk peralihan pelayanan. Penilaian observasi toilet yang terdapat di lantai perlu adanya perbaikan dari aspek kebersihan serta kerapian penataan kelengkapan toilet. Saran agar dapat ditambahkan ketersediaan toilet agar ada pilihan apabila toilet yang satunya penuh. Dikarenakan saat Pelanggan melakukan kunjungan sudah dua kali ke toilet selalu penuh."
"989154";"Wave 1 2024";"Closed";"Service";"Toko dalam kondisi bersih dan rapi. Retail Assistant terkesan pasif dalam melayani Pelanggan, tidak banyak memberikan informasi atau rekomendasi produk."
"989162";"Wave 1 2024";"2236";"Service, Cleanliness";"Store Eiger Cipondoh Tangerang dalam kondisi yang bersih dengan display produk yang tertata rapi. Pelanggan dilayani dengan baik oleh Retail Assistant dan Kasir, Retail Assistant terkesan ramah namun kurang inisiatif dalam melakukan cross selling, dibandingkan dengan Kasir yang lebih inisiatif. Selain itu, Pelanggan juga melakukan observasi ke toilet, closet terlihat sangat kusam dan bernoda."
"990905";"Wave 1 2024";"2228";"Service";"Pada saat kunjungan terdapat beberapa Staf yang terlihat senggang tetapi tidak pro aktif untuk menjelaskan produk-produk yang diminati Pelanggan dan hanya fokus bekerja."
"989235";"Wave 1 2024";"5064";"Service, People";"Pada saat kunjungan Pelanggan, Retail Assistant ramah dan membantu dengan sigap kebutuhan Pelanggan. Kasir terkesan cuek (tidak ramah) selama proses pembayaran dan hanya menjawab pertanyaan dari Pelanggan saja."
"989500";"Wave 1 2024";"5048";"Service";"Pelayanan Retail Assistant dan Kasir terkesan pasif and sangat kurang memuaskan. Retail Assistant memberikan penjelasan yang seadanya ketika Pelanggan mengajukan pertanyaan, Kasirpun memproses pembayaran Pelanggan seperti kurang antusias."
"989914";"Wave 1 2024";"2302";"Cleanliness";"Area Toilet kotor, closet pada Toilet terlihat berkerak."
"989820";"Wave 1 2024";"2269";"Service, Cleanliness";"Pelanggan dilayani dengan baik namun memang pelayanan dari Retail Assistant cukup pasif, tidak ada inisiatif dan masih harus ditanya oleh Pelanggan. Keadaan store bersih dan susunan produknya rapi, namun untuk toiletnya terkesan berantakan, banyak botol sabun dan terdapat piring kotor di lantai."
"992304";"Wave 1 2024";"7010";"Facility, Cleanliness";"Store dalam keadaan bersih dan tertata rapi, namun volume musik terkesan sangat kencang sehingga kurang nyaman saat Pelanggan berinteraksi dengan Retail Assistant. Terdapat cat dinding yang mengelupas di fitting room dan tempat sampah yang menumpuk di toilet."
"991744";"Wave 1 2024";"2172";"People";"Toko Eiger Cibarusah terlihat bersih pada lantai 1 dan lantai 2. Terdapat 2 staf, namun Pelanggan dilayani oleh Retail Assistant yang mana juga menjadi Kasir. Untuk pelayannya baik, Pelanggan ditawarkan produk terbaru dan produk diskon, akan tetapi Retail Assistant tidak memakai Lanyard and ID card sehinggan Pelanggan harus menanyakan nama Retail Assistant tersebut."
"991384";"Wave 1 2024";"2013";"Service";"Retail Assistant yang melayani Pelanggan terkesan pasif and kurang informatif. Retail Assistant hanya memperhatikan Pelanggan, tidak ada inisiatif merekomendasikan atau memberikan informasi terkait produk, namun hanya menjawab pertanyaan-pertanyaan yang diajukan oleh Pelanggan saja."
"991306";"Wave 1 2024";"2267";"People";"Retail Assistant dapat menjelaskan produk dengan baik kepada Pelanggan. Serta dapat merekomendasikan produk yang diminati oleh Pelanggan. Pelanggan diayani oleh 2 Retail Assistant sekaligus. Kemudian saat di area kasir terdapat Retail Assistant yang mungkin merupkan kepala toko karena terlihat tidak memakai seragam dan mengenakan topi."
"989750";"Wave 1 2024";"7025";"Facility, Service";"Toko Eiger Kertabumi Karawanng terlihat bersih pada lantai 1 dan lantai 2, namun terdapat kardus yang menghalangi jalur Pelanggan di area dekat fittng room. Retail Assistant dan Kasir melayani dengan baik, namun keduanya kurang inisiatif dalam menginformasikan diskon promosi yang berjalan di toko dan tidak menanyakan apakah Pelanggan sudah mempunyai member atau belum."
"989808";"Wave 1 2024";"2223";"Service, People";"Retail Assistant melayani dengan baik namun pelayanannya terbilang kurang memenuhi SOP, banyak informasi-informasi yang tidak disampaikan oleh Retail Assistant seperti keunggulan produk, perawatan produk, dll. Kemudian dari segi penampilan juga banyak yang tidak sesuai seperti sepatu dan jilbab serta tidak menggunakan lanyard and ID card. Untuk petugas Kasir sudah memberikan pelayanan yang baik, ramah dan penampilannya sesuai ketentuan."
"992288";"Wave 1 2024";"2068";"People";"Seluruh pelayanan dan kondisi display baik, hanya saja ada beberapa Retail Assistant tidak memakai lanyard & ID card."
"989362";"Wave 1 2024";"2283";"People, Service, Cleanliness";"Store Eiger Serang Kota dalam kondisi yang bersih dengan display produk yang tertata rapi. Pelanggan dilayani dengan baik oleh Retail Assistant, Retail Assistant terkesan ramah and sangat informatif. Namun dari 3 Retail Assistant yang ada di toko semuanya terlihat tidak menggunakan lanyard dan ID Card, kemudian saat berinteraksi pun tidak diawali dengan memperkenalkan diri. Selain itu, Pelanggan juga melakukan observasi ke toilet, kloset terlihat sangat kusam dan menguning."
"989742";"Wave 1 2024";"2140";"Service";"Pelanggan mendapatkan informasi dari Staf Zikri bahwa terdapat pergantian shift, Pelanggan awalnya dilayani oleh Staf bernama Rega lalu saat hendak melakukan pembayaran digantikan oleh Staf bernama Zikri. Staf Rega terkesan sangat pasif, menghampiri Pelanggan hanya ketika Pelanggan mengajukan pertanyaan kemudian kembali ke area meja kasir dan tidak menghiraukan Pelanggan yang sedang melihat-lihat produk."
"991312";"Wave 1 2024";"5148";"Service";"Retail Assistant yang melayani Pelanggan masih terkesan sangat pasif, tidak ada inisiatif untuk memberikan informasi-informasi. Retail Assistant hanya menjawab pertanyaan yang diajukan oleh Pelanggan."
"990674";"Wave 1 2024";"2043";"Service";"Store dalam kondisi bersih dan produk display tertata dengan rapi, namun untuk pelayanan Retail Assistantnya masih terkesan pasif, kurang ada inisiatif untuk memberikan informasi-informasi mengenai produk kepada Pelanggan."
"990683";"Wave 1 2024";"2120";"Facility, Service";"Store Eiger Narogong Bekasi dalam kondisi bersih dan display produk tertata dengan rapi, namun masih ada kemeja yang dipajang yang terlihat kusut dan tas carrier yang tidak dilengkapi price tag. Kemudian dari segi pelayanan Retail Assistant masih terkesan pasif, lebih ke hanya menjawab pertanyaan-pertanyaan yang diajukan oleh Pelanggan."
"989365";"Wave 1 2024";"Closed";"Service";"Pelanggan dilayani dengan baik oleh Retail Assistant, Retail Assistant yang melayani juga terkesan ramah and cukup informatif walaupun masih ada informasi yang tidak disampaikan seperti informasi terkait cara perawatan produknya."
"989349";"Wave 1 2024";"5074";"Service";"Toko Eiger Tangerang City terlihat rapi dan bersih. Pelayanan yang diberikan oleh Retail Assistant cukup baik, ramah and informatif. Namun saat itu hanya ada 1 Petugas saja di dalam toko, karena rekan lainnya sedang libur. Sehiingga, jika terdapat Pelanggan lainnya, tidak dapat langsung dilayani dan ditanya terkait kebutuhannya."
"989444";"Wave 1 2024";"2016";"Facility, Service, Transaction Process";"Suasana store nyaman, bersih and wangi namun beberapa produk display telihat kurang rapi. Kemudian pelayanan dari Retail Assistantpun cukup baik, walaupun masih terkesan pasif karena masih harus ditanya oleh Pelanggan. Kemudian terdapat perbedaan price tag pada produk yang sama namun warna yang berbeda, namun pada akhirnya Retail Assistant menginformasikan untuk harga yang dibayar sesuai harga yang tertera di produk display."
"989920";"Wave 1 2024";"2207";"Service, Cleanliness";"Pelanggan dilayani dengan baik oleh Retail Assistant, Retail Assistant aktif memberikan rekomendasi-rekomendasi produk yang diminta Pelanggan, namun masih pasif dalam memberikan informasi-informasi sehingga harus ditanya terlebih dahulu oleh Pelanggan. Kemudian untuk keadaan toilet di store, masih terdapat peralatan kebersihan yang memberi kesan kurang rapi untuk dijadikan toilet Pelanggan."
"989127";"Wave 1 2024";"2330";"Service, Transaction Process";"Toko Eiger Cemengkalang Sidoarjo terlihat bersih dan rapi pada bagian luar dan dalam toko. Pelanggan dilayani oleh Retail Assistant yang mana juga merangkap sebagai Kasir, namun Pelayanan yang diberikan Retail Assistant kurang baik, Retail Assistant terkesan kurang antusias saat melayani Pelanggan serta tidak menawarkan Pelanggan untuk membuat member."
"991095";"Wave 1 2024";"Closed";"People"
"990053";"Wave 1 2024";"2300";"Cleanliness, Facility, Service";"Terdapat beberapa produk display yang berada di lantai 2 terlihat berdebu, banyak kecoa di dalam store baik itu yang sudah mati maupun masih hidup berterbangan. Selain itu untuk kondisi store di lantai 2 kurang penerangan dan terkesan gelap meskipun saat siang hari. Kemudian untuk pelayanan Retail Assistant masih sangat terkesan pasif dan cuek, saat Pelanggan memasuki store tidak ada sambutan sama sekali dan saat memberikan pelayananpun kurang informatif dan hanya menjawab pertanyaan yang diajukan oleh Pelanggan."
"991307";"Wave 1 2024";"2009";"Service";"Store Eiger Setiabudhi Bandung memiliki ruangan yang sangat luas dan terdapat lantai 1 dan lantai 2, sedangkan Retail Assistant tidak terlalu banyak. Kemudian saat Pelanggan melakukan kunjungan, Retail Assistant tidak begitu menemani / memperhatikan Pelanggan. Sehingga setiap Pelanggan memerlukan bantuan, Pelanggan perlu menghampiri dan memanggil Retail Assistant terlebih dahulu."
"990060";"Wave 1 2024";"2176";"Service";"Retail Assistant yang melayani Pelanggan di Store Eiger Pandeglang terkesan sangat pasif dan kurang informatif. Retail Assistant hanya memperhatikan Pelanggan, tidak ada inisiatif merekomendasikan atau memberikan informasi terkait produk, namun hanya menjawab pertanyaan-pertanyaan yang diajukan oleh Pelanggan. Kemudian Retail Assistant juga sempat meninggalkan Pelanggan yang sedang melihat-lihat produk di lantai 2."
"989133";"Wave 1 2024";"Closed";"Service, People";"Saat Pelanggan sampai di toko, tidak ada satupun Retail Assistant yang standby di dalam toko atau di meja kasir. Sekitar 3 menit Pelanggan berkeliling di area toko, hingga Pelanggan melewati gudang penyimpanan melihat Retail Assistant laki-laki sedang duduk dan bermain hp. Kemudian Pelanggan menghampirinya untuk bertanya mengenai produk yang dicari. Setelah Pelanggan menanyakan perihal \"Tas Gunung\", Retail Assistant laki-laki kembali ke gudang tanpa interupsi ke Pelanggan dan bergantian dengan Retail Assistant perempuan. Retail Assistant perempuan lebih informatif dan gesit jika dibandingkan dengan Retail Asisstant laki-laki."
"989053";"Wave 1 2024";"2321";"Service, People, Cleanliness, Transaction Process";"Retail Assistant yang melayani Pelanggan ramah. Penilaian terkait Kasir awalnya terasa kurang welcome karena kasir tidak menyapa Pelanggan ketika melewatinya beberapa kali. Beberapa diantaranya Kasir cenderung tidak melakukan anjuran sesuai aturan yang berlaku, misalnya tidak mengkonfirmasi barang yang dibeli oleh Pelanggan dan tidak menginformasikan terkait adanya Penukaran barang. Sementara penilaian terkait toilet penataanya terlihat sangat berantakan dan menimbulkan kesan kotor."
"991142";"Wave 1 2024";"2150";"Service, Cleanliness, Transaction Process";"Store Eiger Blitar dalam keadaan bersih, untuk pelayanan dari Retail Assistant cukup baik dan Kasir juga memberikan pelayanan dengan baik. Namun terdapat beberapa point yang terlewat seperti menanyakan member dan menjelaskan mengenai keunggulan produk. Untuk kondisi toilet juga tidak rapi, kedepannya diharapkan agar toilet lebih rapi lagi demi kenyamanan Pelanggan."
"989275";"Wave 1 2024";"2325";"Facility, Service, People";"Toko Eiger Tehok Jambi terlihat bersih pada lantai 1 dan lantai 2, namun perlu adanya tempat sampah di toilet, and juga adanya tissue, serta tidak tergabung dengan ruang istirahat staf and ruang penyimpanan barang. Untuk pelayanan Retail Assistant melayani Pelanggan dengan baik, hanya saja kurang inisiatif dalam menjelaskan promo and perawatan produk. Retail Assistant juga tidak mengenakan Lanyard and ID Card. Untuk pelayanan Kasir, Pelanggan dilayani dengan baik, hanya saja terlihat kurang antusias dalam menyambut Pelanggan."
"990760";"Wave 1 2024";"Closed";"Service, Transaction Process, People";"Retail Assistant terkesan sangat pasif dalam berkomunikasi and tidak mencoba aktif memberikan informasi. Pelanggan merasa, Retail Assistant yang melayani kurang begitu antusias serta kurang ramah membantu Pelanggan untuk mencari apa yang di butuhkan. Kasir kurang teliti karena pada saat transaksi Kasir tidak memberi nota kepada Pelanggan. Bisa saja Pelanggan komplain and tidak mau membayar karena kecerobohan Kasir. Terkait ekspresi Kasir, Pelanggan merasa bahwa kasir kurang Friendly karena saat berinteraksi Kasir jarang tersenyum, saat berbicara Kasir juga tidak fokus menatap Pelanggan. Semoga kedepannya dengan review and feedback ini para Staf ST EG SUKAMTO PALEMBANG dapat menjadi lebih baik lagi dalam memberikan pelayanan and harapan Pelanggan untuk lebih humble lagi pastinya."
"989142";"Wave 1 2024";"2131";"Facility, Cleanliness";"- Retail Assistant terkesan kurang informatif\r\n- Area Fitting Room mesti dilakukan perbaikan pada sisi dinding yang bolong and cat yang mengelupas\r\n- Toilet terlihat minim perawatan\r\n- Pemasangan Spanduk agar dapat diperhatikan kembali karena bisa merusak tampilan/Estetika \r\n- Fasade seperti masih old look"
"989305";"Wave 1 2024";"2125";"Cleanliness, Service";"Outlet Eiger Pengayoman Makassar agar ditingkatkan lagi kebersihannya namun untuk kerapihan sudah cukup baik. Di area toilet harus diperbaiki lagi dikarenakan terdapat perlengkapan toilet seperti tissue toilet yang habis and juga lantai toilet yang basah. Untuk Retail Assistant and Kasir harus ditingkatkan lagi pelayanannya agar lebih baik dalam membantu Pelanggan and juga harus lebih komunikatif dalam menjelaskan produk yang ditanyakan ataupun yang diminati oleh Pelanggan."
"989332";"Wave 1 2024";"5014";"Service";"SH EH BOTANI SQUARE BOGOR toko terlihat bersih and nyaman. Retail Assistant terkesan pasif di awal Pelanggan datang ke toko. Pelanggan yang harus berinisiatif terlebih dahulu untuk dapat dilayani oleh Retail Assistant. Namun Retail Assistant dapat menjelaskan produk yang ditanyakan oleh Pelanggan dengan baik, serta dapat memberikan rekomendasi terkait produk yang diinginkan oleh Pelanggan."
"989439";"Wave 1 2024";"2121";"Service, Transaction Process, Cleanliness";"Pelayanan yang diberikan oleh Retail Assistant sudah baik namun kurang dalam berinisiatif menjelaskan lebih detail mengenai produk yang ditanyakan oleh Pelanggan. Pelanggan juga tidak dipandu untuk membuat member hanya dijelaskan mengenai manfaat menjadi member saja. Untuk area toko terlihat bersih namun ada beberapa produk display yang tidak tersusun dengan rapi."
"989155";"Wave 1 2024";"2242";"Service";"Retail Assistant kurang informatif dalam menjelaskan produk yang ditanyakan and terkesan pasif dalam melayani. Untuk toko terlihat sudah bersih and nyaman."
"989505";"Wave 1 2024";"5026";"Cleanliness, Service";"Toko SH EG KOTA KASABLANCA JAKARTA terlihat bersih, namun ada beberapa produk display yang tidak tersusun dengan rapi, serta terdapat tumpukan kardus di dalam fitting room yang membuat Pelanggan kurang nyaman ketika mencoba produk. Retail Assistant and Kasir mampun menjawab and menjelaskan produk yang ditanyakan dengan baik. Serta dapat memberikan rekomendasi terkait produk yang diminati oleh Pelanggan. Hanya saja di awal ketika masuk Retail Assistant terlihat pasif and hanya membiarkan Pelanggan untuk melihat-lihat barang. Baru menghampiri ketika Pelanggan bertanya mengenai produk tas carrier."
"989514";"Wave 1 2024";"2271";"Service, People";"Toko Eiger Tebet Jakarta Selatan terlihat rapi and bersih pada lantai 1 maupun lantai 2. Pelanggan dilayani dengan baik oleh Retail Assistant and Kasir, akan tetapi untuk pelayanan Retail Assistant kurang inisiatif dalam menjelaskan promo and perawatan produk, dibandingkan dengan Kasir yang lebih inisiatif dalam menjelaskan produk, member, maupun promo yang sedang berlangsung. Retail Assistant and Kasir tidak memakai ID Card sehinggan Pelanggan tidak mengetahui nama masing-masing Staf."
"989779";"Wave 1 2024";"2025";"Facility, Cleanliness, Service";"Toko Eiger OL Madiun terlihat rapi and bersih pada lantai 1 and lantai 2, namun untuk area toilet tergabung dengan gudang, and toilet dalam keadaan kotor and kusam. Unutuk pelayanan, Pelanggan dilayani dengan baik oleh Retail Assistant, Retail Assistant yang melayani Pelanggan merangkap juga sebagai Kasir, and untuk Pelayanannya sangat baik and ber-SOP, namun ada beberapa hal yang terlewatkan seperti tidak menawarkan Pelanggan untuk mecoba produk yang diminati, tidak menjelaskan perawatan produk, and tidak bertanya apakah Pelanggan membawa bag sendiri atau tidak."
"989796";"Wave 1 2024";"Closed";"Cleanliness, Service, Transaction Process";"Toko Eiger Tanjungraya Pontianak terlihat bersih, namun terdapat kardus barang yang diletakan di lantai. Pelanggan dilayani dengan baik oleh Retail Assistant yang sekaligus menjadi Kasir. Retail Assistant tidak inisiatif terkait menawarkan Pelanggan untuk mencoba produk yang diminati, tidak menjelaskan perawatan produk dengan spontan kepada Pelanggan, and tidak menanyakan ke Pelanggan sudah memiliki member atau belum. Retail Assistant terlihat kurang aktif."
"989822";"Wave 1 2024";"2109";"Service";"Kondisi store bersih nyaman and sejuk, hanya stok warna produk terbatas yang tersedia hanya yang ada di display."
"989801";"Wave 1 2024";"2272";"Cleanliness, Transaction Process";"Secara keseluruhan pelayanan yang diberikan sudah bagus, banyak menjelaskan terkait produk and membantu mencari produk sesuai kebutuhan Pelanggan. Untuk toilet tidak memiliki tempat sampah and toilet sedikit berkerak. Kualitas tinta print pada struk pembayaran kurang terlihat (blur)."
"989792";"Wave 1 2024";"Closed";"Service, People";"Toko Eiger Antapani Bandung terlihat rapi and bersih pada lantai 1 maupun lantai 2. Pada awal layanan, Pelanggan langsung ke lantai 2 untuk mencari produk namun Retail Assistant yang menyambut Pelanggan tidak menemani Pelanggan. Setelah sekitar 6 menitan Pelanggan berkeliling melihat-lihat produk di lantai 2 and tidak ada Retail Assistant yang menghampiri, akhirnya Pelanggan kembali ke lantai 1 untuk mencari Retail Assistant. Secara keseluruhan, Pelanggan dilayani dengan baik oleh Retail Assistant and Kasir, akan tetapi untuk pelayanan Retail Assistant kurang inisiatif dalam menawarkan Pelanggan untuk mencoba produk pilihannya. Retail Assistant and Kasir tidak memakai ID Card sehinggan Pelanggan tidak mengetahui nama masing-masing."
"989903";"Wave 1 2024";"2246";"Cleanliness, Facility";"Saat Customer berada didalam toilet toko tidak terlihat adanya tissue yang harusnya tersedia untuk Customer, juga terdapat ember bekas cat berada di dalam toilet untuk menampung tetesan air and terdapat selang air, hal ini baiknya dikeluarkan karena sudah terdapat penampung air didalam toilet sehingga membuat toilet terkesan lebih bersih."
"989866";"Wave 1 2024";"2056";"Cleanliness";"Toko Eiger Medan terlihat rapi and bersih pada display produk, namun terdapat tumpukan karung yang diletakan di depan window display produk, untuk fitting room terlihat kotor pada dinding, and toilet juga dalam keadaan kotor. Untuk pelayanan, Pelanggan dilayani oleh Retail Assistant yang juga merangkap sebagai Kasir karena Kasir sebelumnya meminta dirinya digantikan oleh Retail Assistant."
"989936";"Wave 1 2024";"2305";"Service";"Hal hal yang Pelanggan rasakan pada saat berbelanja di toko Eiger sangat memuaskan, dari pelayanan semua baik Retail Assistant and Kasir."
"989913";"Wave 1 2024";"7013";"Cleanliness";"Kebersihan toilet harap lebih diperhatikan, dikaarenakan lantai and dinding dalam keadaan berkerak and lembab serta tidak terdapat pewangi."
